# Copyright Notice:  Al Jones 2005 - 2013
# License: This file in its original form may be distributed freely.
# This file may be modified for personal use only; any modified version
# of this file may not be distributed or published by any means.

# I'd like to remind you all that FontOrg is a shareware program.
# It takes a considerable amount of time to update it and its asscociated files.
# If you find yourself using it on a regular basis I'd appreciate you tipping
# something into my PayPal Account.  The link to it can be found at FontOrg.us
# Thanks //al

#  Where I havent found a foundry - as a last resort - lets stick
#  it into a folder of the program that created them

by ALLTYPE	_AllType
Lazy Crazy	Lazy Crazy
Lazy Dog Foundry	Lazy Dog Foundry
lbc computers	LBC Computers
LCD Graphics	LCD Graphics
LDO Fonts	LDO Fonts
Le Monde newspaper	Le Monde newspaper
Lear Type Foundry	Lear Type Foundry
LearnFun Systems	LearnFun Systems
LeFly	LeFly
Leonardi?s Typefoundry	Leonardi's Type Foundry
Leonardi's Type Foundry	Leonardi's Type Foundry
Leonel Terres	Leonel Terres
Leonhard Lass	Leonhard Lass
Leonid Zorin	Leonid Zorin
Leroy Chen	Leroy Chen
Leslie Cabarga	Leslie Cabarga
AB Vista Company	Letraset
Created by LetraSet	Letraset
Eselte	Letraset
Esselte	Letraset
Fontek/Letraset	Letraset
FontStudio	Letraset
Letraset	Letraset
Juan Pablo de Gregorio	Letritas
Letterbox	Letterbox
Gary Godby	Letterhead Fonts
LetterHead Font	Letterhead Fonts
letterheadfonts	Letterhead Fonts
Mike Erickson	Letterhead Fonts
Mike Stowe	Letterhead Fonts
Arthur Vanson	Letterhead Fonts
Charles Borges de Oliveira	Letterhead Fonts
Ken McTague	Letterhead Fonts
letterhead studio	Letterhead Studio
Letteringdelights	Letteringdelights
LetterKraft	LetterKraft
LetterPerfect	LetterPerfect Fonts
LettEror	LettError
LettError	LettError
Letters From The Claw	Letters From The Claw
Level Five Research	Level Five Research
LeVision	LeVision
Maximiliano R. Sproviero	Lian Types
Liborsoft? Freeware	Liborsoft Freeware
Lifetouch National School	Lifetouch National School Studios
#Lime	Lime
Limit?Type	Limit Type
Limit. Type	Limit Type
Limon Group	Limon Group
Lindstrom Design	Lindstrom Design
lineasolido	Linea Solido
Lineage Software	Lineage Software
Cornel Windlin	LineTo
Cornell Windlin	LineTo
LineTo	LineTo
Heidelberger Druckmaschinen	Linotype
linotype	Linotype
Linotype design studio	Linotype
Linotype gmbh	Linotype
Linotype??Hell 	Linotype
Linotype?Hell	Linotype
Lion Kuntz	Lion Kuntz
Lions Den International	Lions Den International
lipi graphics	Lipi Graphics
LiquidGraphX	Liquidgraphx
Little Bill Productions	Little Bill Productions
littleredcircles	Little Red Circles
Little StarSeed	Little Star Seed
LivingEnd	Living End
living td	Living TD
LMNo Designs	Lmno Designs
LockerGnome	Locker Gnome
Lo??edesign Co	Loedesign
Logo Factory	Logo Factory
Logos Research	Logos Research Systems
Loki & Legolas	Loki & Legolas
London Stokes	London Stokes
Copyright (c) LT	London Transport
LonesomeTypeFactory	Lonesome Type Factory
loosy(fab	Loosy Design
loosydesign	Loosy Design
Lotus	Lotus
LoveDesign	Love Design
Love-Design Co	Love Design
by Loveless	Loveless
lowtech corp	Lowtech Corp
L. t. F	LTF
LucasFonts	Lucas Fonts
Ludlow Industries	Ludlow Industries
Lunchbox Design	Lunchbox Design
Lunchbox Studios	Lunchbox Studios
lux typographics	Lux Typographics
Ly's Media	Ly's Media
MaBell Treasury of Design	MaBell Treasury of Design
Maboli Systems	Maboli Systems
MAC Rhino	MAC Rhino
MacArtist	MacArtist Incorporated
MacBuddha	MacBuddha
Macross City Pok?tech Center	Macross City Poketech Center
Mad Irishman Productions	Mad Irishman Productions
Madensack	Madensack
MADtype	Madtype
Mage Solutions	Mage Solutions
by Magenta	Magenta ltd
Magenta ltd	Magenta ltd
Maghribi Assile	Maghribi Assile
MagicFonts	Magic Fonts
MagicLINES	MagicLINES
Magik Pirating	Magik Pirating
Magik Software	Magik Software
M a g n u m   S o f t w a r e	Magnum Software
Magnum Software	Magnum Software
mahnishtahnah project	MahNistanah Project
MahNistanah Project	MahNistanah Project
Mahoney Fine Arte	Mahoney Fine Arte
majus corp	Majus Corp
Malayalam Vaarika Design	Malayalam Vaarika Design
Maleksoft Developer	Maleksoft Developer
Design by Malgorzata Budyta	Malgorzata Budyta
Designed by Masayuki sa??o	Maniackers Design
maniackers	Maniackers Design
Mannesmann ScanGraphic	Mannesmann ScanGraphic
Manugistics Inc	Manugistics Inc
MapInfo Corp	MapInfo Corp
MapInfo Corporation	MapInfo Corp
Mark Simonson	Mark Simonson Studio
M?rroquin Design	Marroquin Design
marshallarts	Marshall Arts
Maruti Computers	Maruti Computers
Maste(R)Font Studio	Master Font Studio
MasterFont Studio	Master Font Studio
MasterSoft	MasterSoft
Match and Kerosene	Match and Kerosene
matchfonts	Match Fonts
Match Software	Match Software
Maternellecolor	Maternellecolor
Mathrubhumi Web	Mathrubhumi Web
matrix software	Matrix Software
Mattel	Mattel
Mawns	Mawns
Mayan Epigraphic Database	Mayan Epigraphic Database
Mazda Motor	Mazda Motor Corp
MC Grafix	MC Grafix
McGraw Hill	McGraw Hill
MDTA Design	MDTA Design
MDTADesign	MDTA Design
meanworks	Mean Works
Mecanorma	Mecanorma International
Media Graphics International	Media Graphics International
Media Management	Media Management
MediaStudio	Media Studio
mediacrest	Mediacrest Inc
medialab	Medialab
Mediendesign	Medien Design
Megami Studios	Megami Studios
Meguro-Design	Meguro Design
mentaltype.com	MentalType
MentorFonts	Mentorfonts
mercedes-benz ag	Mercedes Benz
Merlin's Software	Merlin's Software
MetaDesign	MetaDesign
Metalhead Studios	Metalhead Studios
metaphasebrothel	metaphasebrothel
Mewtor	Mewtor
Mftrace	Mftrace
MGI Software	MGI Software
MGM?Design	MGM Designs
mgmdesign	MGM Designs
MGraphix	MGraphix
Mickey Avenue	Mickey Avenue
mickeyavenue	Mickey Avenue
Micro & Way Font Bank	Micro & Way Font Bank
MicroCOM	Micro Com
Micro Systems International	Micro Systems International
MicroCom BBS	MicroCom BBS
Microgetics	Microgetics
MicroLogic Software	MicroLogic Software
MicroSabio	MicroSabio
Microsense Computers	Microsense Computers
Microsoft Hardware	Microsoft Corp
Copyright Microsoft	Microsoft Corp
Microsoft Corp	Microsoft Corp
Microsoft Design	Microsoft Corp
MicroVision Development	MicroVision Development
MIDICraft	MIDI Craft
Midisoft Corp	Midisoft Corp
Midway Manufactoring	Midway Manufacturing
Midway Manufacturing	Midway Manufacturing
Mieke3000	Mieke3000
Mieps	Mieps Fonts
MIFFIES	Miffies
Mighty Minks International	Mighty Minks International
Migraine Graphics	Migraine Graphics
Migraine Type	Migraine Type
mikworks	Mikworks
Copyright (c) Miles Ink	Miles Ink
MilkWorks	Milk Works
MindCandy	Mind Candy
Mindaugas Strockis	Mindaugas Strockis
Mindofone Fonts	Mindofone Fonts
miniml.com	Miniml
MintCure	Mint Cure
Mirco Curtis Mack	Mirco Curtis Mack
Mirkwood Designs	Mirkwood Designs
Mirror Image	Mirror Image
Liam Lewis	Misile Law Foundry
Misile law foundry	Misile Law Foundry
misprint font	Misprint Font
Misprinted Type	Misprinted Type
MisprintedType	Misprinted Type
Miss Tiina	Miss Tiina
Mister Bla`s Fontworx	Mister Bla?s Fontworx
Mitron Creations	Mitron Creations
MKS Design	Mks Design
M/M FONt DESIGN	MM Font Design
MM Font Design	MM Font Design
mnwrks	Mnwrks
MoaaSystem	Moaa System
ModBlackmoon	ModBlackmoon
Modern Microware	Modern Microware
Modular InfoTech	Modular InfoTech
Modular Systems	Modular Systems
MongolC	MongolC
monibdesign	Monib Design
Moniteurs	Moniteurs
monkeebidnes	Monkee Bidness
monkeyfonts	Monkey Fonts
monkeymedia	Monkey Media
Monogram Fonts	Monogram Fonts
MonoType	Monotype Imaging
Moon In Aquarius	Moon In Aquarius
MoonLight Designs	MoonLight Designs
Moonlight Type	MoonLight Designs
MoonlightDesigns	MoonLight Designs
More Services	More Services
Morisawa	Morisawa
Morovia Corporation	Morovia Corporation
Morris Design	Morris Design
MorrisDesign	Morris Design
Mortal Turtle Foundry	Mortal Turtle Foundry
Moser DataBase	Moser DataBase
Mota Italic	Mota Italic
Mo?ionS?udio	MotionStudio
MotionStudio	MotionStudio
Motken.com	Motken.com
MOTOYA CO	Motoya Co
Mountain Lake Software	Mountain Lake Software
MouserFonts	Mouser Fonts
Mozart Music	Mozart Music Software
Mr. Fisk	Mr Fisk
MR.FISK	Mr Fisk
mrhomeykie	Mr Homey Kie
MR Moebes	Mr Moebes
Mseek Font Creator	Mseek Font Creator
MUFI research group	MUFI research group
munichtype	Munich Type
Mural Division	Mural Division
Muraleetha	Muraleetha
Mushi	Mushi
Mushroom Mandrake	Mushroom Mandrake
MushyBees	Mushy Bees
Music FontWorks	Music Font Works
MusicWriter	Music Writer
musicfontlab	Musicfontlab
Markanna Studios Inc	MvB Design
MvB Design	MvB Design
MVB Fonts	MvB Design
MWSoft	MW Soft
#MyFont	My Font
My Left Font	My Left Font
My Urdu Messnger	My Urdu Messnger
mzwdesigns	MZW Designs
NAGAKURA FONT COLLECTION	Nagakura Font Collection
NAKSOFT	NAKSOFT
Nasim Network	Nasim Network
National Centre for Software Technology	National Centre For Software Technology
"National Post, Southam"	National Post Southam
National Taiwan University	National Taiwan University
NDC Web Design	NDC Web Design
ndiscovered.com	ndiscovered.com
117451808m ndm	NDM
of Nebiolo	Nebiolo	# adobe
Necropolis	Necropolis
(c) NECTEC	NECTEC
by NECTEC	NECTEC
Neferchichi's Fonts	Neferchichi's Fonts
nendo graphixxx	Nendo Graphixxx
neogrey creative	Neogrey Creative
neogrey.com	Neogrey Creative
Britton Walters	Nerfect Type Foundry
Nerfect Type	Nerfect Type Foundry
Nerfect Type Laboratories	Nerfect Type Laboratories
NERO HO	Nero Ho
Net Cirque	Net Cirque
TheNetStar	Net Star
Network Computing Devices	Network Computing Devices
NeuFont, Inc	NeuFont Inc
Neufville Digital	Neufville Digital
Neurological Associates	Neurological Associates
NghtMvs	Nght Moves
NHN Corporation	NHN Corporation
Nick Curtis	Nick's Fonts
Nick's Fonts	Nick's Fonts
Night Graphics	Night Graphics
Night Illusions Web Design	Night Illusions Web Design
NightHawk	Nighthawk
Nihilschiz Fonts	Nihilschiz Fonts
Nihon Literal ltd	Nihon Literal Ltd
by Nike	Nike
NIMX Foundry	NIMX Foundry
Nippon Information & Science	Nippon Information & Science
NIPPON PRINTING	Nippon Printing
NiteMayr	Nite Mayr
Nitemare Productions	Nitemare Productions
Noimage	Noimage
Noize of Zappin	Noize of Zappin
nokia corp	Nokia Corp
NonAesthetic	NonAesthetic
Norfok Inc	Norfok Incredible Font Design
Norfok? Incredible Font	Norfok Incredible Font Design
www.norfok.com	Norfok Incredible Font Design
Nortel Networks	Nortel Networks
Nortext Multimedia	Nortext Multimedia
Northern Fonts	Northern Fonts
Norton Photosetting	Norton Photosetting	# Adobe
Norwick	Norwick
NoteWorthy ArtWare	Note Worthy ArtWare
nothing medialab	Nothing Medialab
Nothingware	Nothingware
Nova Design	Nova Design
NOVA MEDIA VERLAG	Nova Media Verlag
NovaMute	NovaMute
NovelFonts	Novel Fonts
Novell Applications Group	Novell Applications Group
NRB Systems	NRB Systems
by NSW	NSW
Nu Isis Working	Nu Isis Working Group
NuevoDeco Design	NuevoDeco Typography
NuevoDeco Typography	NuevoDeco Typography
Numus	Numus
Nwardesign	Nwardesign
Ocarina	Ocarina Fonts
OkayCat	OkayCat
Oketz Fonts	Oketz Fonts
Oldie & Lyngam Asociados	Oldie & Lyngam Asociados
OLDUVAI CORPORATION	Olduvai Corporation
Oliver Conte Design	Oliver Conte Design
Omaha Recycles	Omaha Recycles
Omega Design	Omega Design
Omega Font Labs	Omega Font Labs
OmegaFrog	Omega Frog
OMEGA Labs	Omega Labs
Omega Project	Omega Project
Omen Type	Omen Type
Ominous Cat	Ominous Cat
Omkarananda Ashram Himalayas	Omkarananda Ashram Himalayas
Franko Luin	Omnibus Typografi
Omnibus Typografi	Omnibus Typografi
OMSDS	OMSDS
On The Beach Surf Shop	On The Beach Surf Shop
OneUp	One Up
One Up	One Up
One Way Out	One Way Out
OneZero	One Zero
Copyright 199? - ONIX Studio.	Onix Studio
Onno Schaap	Onno Schaap
ONYX Studio	Onyx Studio
ootsuka typewerks	Ootsuka Typewerks
Open University	Open University
Open Window	Open Window
#OPULUX	OPpulux
(c) optimo	Optimo
"Optimo, Switzerland"	Optimo
optimo snc	Optimo SNC
OrgDot	OrgDot
OrgilTech Co	OrgilTech Ltd
OrgilTech	OrgilTech Ltd
Origin Systems	Origin Systems
Original 19	Original 19
OsoSoft	OsoSoft
OurType	OurType
Outrasfontes.com	Outras Fontes
Outside the Line	Outside the Line
OviyaResearch	Oviya Research
PixelZentrum	Pixel Zentrum
P2+K2	P2+K2
P22	P22 Type Foundry
p22 inc	P22 Type Foundry
P22 Type Foundry	P22 Type Foundry
Richard Kegler	P22 Type Foundry
Page Studio Graphics	Page Studio Graphics
PageTech	Page Tech
Page Technology Marketing	Page Technology Marketing
Paisley Parke	Paisley Parke
Paleale	Pale Ale Productions
pampatype	Pampatype
Panache Graphics	Panache Graphics
Panache Typography	Panache Typography
Panic Design	Panic Design
Pantograph	Pantograph
Panurge	Panurge
Paolo Agostini	Paolo Agostini
PaperKutz	Paperkutz
www.parachute.gr	Parachute Graphics
(c) ParaGraph	ParaGraph International
199? ParaGraph	ParaGraph International
Copyright ParaGraph	ParaGraph International
#paragraph	ParaGraph International
ParaGraph Int	ParaGraph International
ParaGraph JV	ParaGraph International
Parakeet/ef	Parakeet ef
Parallax	Parallax
ParaType	ParaType
parkinson type design	Parkinson Type Design
Parody	Parody
Parsons Technology	Parsons Technology
Partly Cloudy Media	Partly Cloudy Media
Passport Designs	Passport Designs
Past&Future	Past & Future
Patterns For The Boys	Patterns For The Boys
Patty Whack Fonts	Patty Whack Fonts
PaulCo Heavy Industry	PaulCo Heavy Industry
Payne Loving Trust	Payne Loving Trust
HugWare	pc Crafter
pcCrafter	pc Crafter
Peanuts	Peanuts
Pealygates	Pearly Gates
PearlyGates	Pearly Gates
Penguin Productions	Penguin Productions
Pennyzine	Pennyzine
penta.com	Penta
PenUltimate Type	PenUltimate Type
PepFX Design	PepFX Design
periscope creations	Periscope Creations
Petro Design	Petro Design
Petroglyphic Design	Petroglyphic Design
PG Music	PG Music
PhantomPhonts	Phantom Phonts
phantommenace	Phantommenace
Philatype	Philatype
Philips SemiConductors	Philips SemiConductors
Phoenix Fonts	Phoenix Fonts
Phoenix Phonts	Phoenix Phonts
PhonScript Systems	PhonScript Systems
Phont Typographics	Phont Typographics
PhontPhreak	Phontphreak
PhotoLettering	Photo Lettering
Photo?Lettering	Photo Lettering
Phuong Nam Net	Phuong Nam Net
Pia Borders	Pia Borders
PiFont	PiFont
1997 Pinhead Grafix	Pinhead Graphix
PINHEAD GRAFX	Pinhead Graphix
Pinhead Graphix	Pinhead Graphix
Pink Broccoli Types	Pink Broccoli Types
PintassilgoPrints	PintassilgoPrints
Pi_'s Room	Pi's Room
PitDGulash	Pit DGulash
pixel fonts	Pixel Fonts
pixelfonty	Pixel Fonty
pixelfreak	Pixel Freak
PixelHugger	Pixel Hugger
Pixelmonkeystudios	Pixel Monkey Studios
thepixelplant	Pixel Plant
PixelPrint Zagreb	Pixel Print Zagreb
PixelCarnage	PixelCarnage
Pixeltoy	PixelToy
PixieType	Pixie Type
Kemie Guaida	Pixilate
http://hjem.get2net.dk/jfischer/	Pizza Dude
PizzaDude	Pizza Dude
Copyright PJL 2000	PJL
Copyright PJL MMII	PJL
PJL '02	PJL
PKW. 2005	PKW
Typeface ? PKW	PKW
Plan Nine Design	Plan Nine Design
planck foam	Planck Foam Scholarly Dragon
PlanckFoam	Planck Foam Scholarly Dragon
scholarly dragon	Planck Foam Scholarly Dragon
Scholars Press	Planck Foam Scholarly Dragon
scolarly dragon	Planck Foam Scholarly Dragon
Planet Buzz	Planet Buzz Studios
The Planet	Planet Buzz Studios
planet design	Planet Design Company
Platinum Inc	Platinum Inc
playroom software	PlayRoom Software
plazm fonts	Plazm Media
Plazm Media	Plazm Media
Plazte19	Plazte 19
PlugInFonts	Plug In Fonts
PlyType	Plytype
P.M Original	PM Original
PM ?ORIGINAL	PM Original
Pocket Books	Pocket Books
Pokelele	Pokelele
polish tex users group	Polish Tex Users Group
Pollhammer	Pollhammer
Polygraph Mash	Polygraph Mash
Poligrefmash	Polygraph Mash
PolygraphMash	Polygraph Mash
polytype	Polytype
Polyvroom	Polyvroom
Poodle Fonts	Poodle Fonts
Pooh Bear's Den	Pooh Bear's Den
PopAmericana Type Foundry	Pop Americana Type Foundry
Pop Void Publications	Pop Void Publications
pOPdOD fONTS	PopDog Fonts
popdog	PopDog Fonts
Porch Swing Pub	Porch Swing Publishing
Porchswing Publishing	Porch Swing Publishing
Porchez TypoFonderie	Porchez TypoFonderie
Porn Star Clothing	Porn Star Clothing
PortalFox	PortalFox
Positype	Positype
Pouliadis Associates	Pouliadis Associates
Pow Fonts	POW Fonts
power graphixx	Power Graphixx
PRADEX Group	PRADEX Group
premiere magazine	Premiere Magazine
presence typo	Presence Typo
PressureTypeFoundry	Pressure Type Foundry
PIP-Type	Pretty In Pink-Type
By Preuss	PreussType
preussTYPE	PreussType
pr imafont	Prima Fonts
Primafont	Prima Fonts
PrimaVista	Prima Vista
PriMedia	Prime Media
Primemedia	Prime Media
primnedia	Prime Media
primetype	PrimeType GmbH
Print Dogs	Print Dogs
PriNzfOntZ	Prinz Fontz
prismtone	PrismTone
Process Type Foundry	Process Type Foundry
Proclaim Communications	Proclaim Communications
www.playpuppy.com	Products of Play
magazinepublisher	Profiles Publishing
profiles publishing	Profiles Publishing
ProFont Distribution	Profont Distribution
200? ProFonts	ProFonts
ProGrafx	ProGrafx
Proshika Computer Systems	Proshika Computer Systems
proto.type	Proto Type
Provo Craft	Provo Craft
Proxima Systems	Proxima Systems
P?Side Design S?udio	P-Side Design Studio
P-Side Design Studio	P-Side Design Studio
Psychedelix	Psychedelix
PsychoGlyph	Psycho Glyph
Psy?Ops	PsyOps Type Foundry
PsyOps	PsyOps Type Foundry
Publieke Omroep	Publieke Omroep
Published Perfection	Published Perfection
Publishers Paradise	Publishers Paradise
Publishers' Paradise	Publishers Paradise
Publisher's Paradise	Publishers Paradise
Pukupu	Pukupu
Purple Systems	Purple Systems
PWH HÅnxe	PWH HÅnxe
"PWH, HÅnxe"	PWH HÅnxe
Pyro	Pyro
#PYRS Fontlab	Pyrs Fontlab
Pyrus FreeSerif	Pyrus FreeSerif
Qanston Type	Qanston Type
Qnix Computer Co	Qnix Computer Co
QPC Software	QPC Software
QType	Qtype
QualiType	QualiType
Quantum Enterprises	Quantum Enterprises
Quartet Systems	Quartet Systems
r.r. donnelley	R R Donnelley
RAFonts	RA Fonts
Rabbit Reproductions	Rabbit Reproductions Type foundry
rag & bone design	Rag & Bone Design
RagTime	Rag Time
Ragnarok Enterprises	Ragnarok Enterprises
Ragnarok Press	Ragnarok Press
RailHead Design	Rail Head Design
RAILhead Fonts	Rail head Design
Rain-Road	Rain Road
Ransom Group	Ransom Group
raphmode	RaphMode
RASDESIGN	RAS Design
RavenType	RavenType
Raw Design Studio	Raw Design Studio
Real Academia de Bellas Artes	Real Academia de Bellas Artes
Realm Beyond iNSANiTY	Realm Beyond iNSANiTY
reasonable solutions	Reasonable Solutions
Recycle Foundation	Recycle Foundation
redbikini.com	Red Bikini Type
RedBikiniType	Red Bikini Type
Red Dragon	Red Dragon
Red Hat, Inc	Red Hat, Inc
Red Hen	Red Hen Enterprises
Red No. 06	Red No 06
Red No. 07	Red No 07
Red Rooster	Red Rooster Collection
Redfonts	Redfonts
Redruth's Basement	Redruth's Basement Software
Reference Type Foundry	Reference Type Foundry
2007 Reserves.	Reserves
Resident Foundry	Resident Foundry
Ressearcher	Ressearcher
Retroblaster	Retroblaster
Rhode Island Soft Systems	Rhode Island Soft Systems
Richard Beatty Designs	Richard Beatty Designs
Ricoh	Ricoh
Ridgemont Studios	Ridgemont Studios
Ring Zero Systems	Ring Zero Systems
RipeType	RipeType
Risen Realm Studios	Risen Realm Studios
RIVER CITY GRAPHIX	River City Graphix
Rivers Edge Corp	Rivers Edge Corporation
Ri??erside Caf?	Riverside Cafe
ri?erside caf?	Riverside Cafe
Rix Foundry	Rix Foundry
RMU Typedesign	RMU Typedesign
RnF Entertainment	RnF Entertainment
RoadRunner Computing	Road Runner Computing
RoastHorse Type Foundry	Roast Horse Type Foundry
Robert Arnow Design	Robert Arnow Design
Robotic Attack Fonts	Robotic Attack Fonts
rocholl projects	Rocholl Projects
Cavazos Design	Rodrigo Xavier Cavazos Design
rokus media	Rokus Media
ROMP Software	ROMP Software Group
RONPS@AOL.COM	Ronps@AOL.Com
Rosemary Sassoon	Rosemary Sassoon
Rotary Club of Damansara	Rotary Club of Damansara
Rothstein Design	Rothstein Design
RotoDesign	Roto Design
Rotograf	Rotograf
RotorType	Rotor Type
roulettestudios	Roulette Studios
Rowan Software	Rowan Software
Royal National Institute for the Blind	Royal National Institute For The Blind
Royaltech Fonts	Royal Tech Design
RoyalTech Design	Royal Tech Design
#RS Design	RS Design
by RS Design	RS Design
Rubicon Computer Labs	Rubicon Computer Labs
RudynFluffy	Rudyn Fluffy Entertainment
Rumburaks Softwarestuebchen	Rumburaks Softwarestuebchen
rush font project	Rush Font Project
RustBelt Type Foundry	Rust Belt Type Foundry
RXC Design	RXC Design
S.Hauser Font Lab	S Hauser Font Labs
Sabina Ltd	Sabina Ltd
Sacred Nipple	Sacred Nipple Fonts
SacredNipple	Sacred Nipple Fonts
Sadalmelik Fontorium	Sadalmelik Fontorium
Safineh Co	Safineh Co
SAKHR Software	SAKHR Software
by Samsung	Samsung
Samuelstype Design	Samuelstype Design AB
SandollTypeBank	SandollTypeBank
Sane Technology	Sane Technology
Sanguine Productions	Sanguine Productions
SANRIOWAVE CO	Sanriowave Co
SANS1 Studios	SANS1 Studios
Sanskrit Diacritic Typefaces	Sanskrit Diacritic Typefaces
SaraArts	SaraArts
SaralSoft	Saral Soft
Sargoo	Sargoo
Sasa Petricic	Sasa Petricic
Sasurivibs	Sasurivibs
Satwinder Sehmi	Satwinder Sehmi
ScanDer Ltd	ScanDer Ltd
ScanJam Design Company	ScanJam Design Company
Scanmasters Revenge	Scanmasters Revenge
ScanMos Electronic	ScanMos Electronic
ScanVec Co	ScanVec Co
ScenoGrafica	Sceno Grafica Software
Schizotype	Schizotype
Scholars Press	Scholars Press
Anton Scholtz	Scholtz Fonts
Scholtz Fonts	Scholtz Fonts
ScholtzFonts	Scholtz Fonts
www.schudio.co.uk	schudio
Christian Schwartz	Schwartzco
Scooter Graphics	Scooter Graphics
Scorpio	Scorpio
Scrowleyfonts	Scrowleyfonts
ScrapBook	Scrap Book
Scrapangels	Scrapangels
Scrapnfonts	Scrapnfonts
scrappinfun font	Scrappin Fun Fonts
Scraps Ahoy	Scraps Ahoy
scrapsahoy	Scraps Ahoy
scrapsahy	Scraps Ahoy
ScrapVillage	ScrapVillage
Screaming Fonts	Screaming Fonts
Screen Point	Screen Point
scripps college	Scripps College
Dave Nalle	Scriptorium Fonts
David F. Nalle	Scriptorium Fonts
David Nalle	Scriptorium Fonts
Scriptorium	Scriptorium Fonts
www.fontcraft.com	Scriptorium Fonts
rzy/SD	SD Fonts
SDFonts	SD Fonts
Seagull Scientific Systems	Seagull Scientific Systems
Searay's Ruins	Searay's Ruins
Second Effort Graphics	Second Effort Graphics
Sedsoft	Sedsoft
Seema Consulting	Seema Consulting
(C) SEGA	Sega Enterprises
sega enterprises	Sega Enterprises
SeguraSmith Foundry	Segura Smith Foundry
Sehga Soft	Sehga Soft
sei project	Sei Project
SEIKO EPSON CORP	Seiko Epson Corp
SelfBuild Type Foundry	Selfbuild Type Foundry
Selphie.Org	Selphie.Org
Selphie. Org	Selphie.Org
Semata	Semata
Senamirmir Project	Senamirmir Project
Senjudo	Senjudo
sentfactor	Sentfactor ltd
Sentinel Type	Sentinel Type
Seoul System Co	Seoul Systems
SEOUL SYSTEMS	Seoul Systems
Serendipity Fonts	Serendipity Fonts
Set City	Set City
? 200? SFG	SFG Turkish
SGCF	SGCF
SGM Designs	SGM Designs
ght ? AGT	SGT
ShadowyMist	Shadowy Mist
SHAKAGRAPHICS	Shaka Graphics
ShameOnMeRock	Shame On Me Rock
Shamrock	Shamrock International
Sharif FarsiWeb	Sharif FarsiWeb
SharkShock Fonts	Shark Shock Fonts
SharkShock Productions	Shark Shock Productions
#Sharp	Sharp
Sharp Corporation	Sharp Corporation
SHIMSHON, YERUSHALEIM	Shimson
Nick Shinn	Shinn Type Foundry
Shinn Type Foundry	Shinn Type Foundry
shiseido diamonds	Shiseido Diamonds Corporation
SHK. Dezign	SHK Dezign
SHKDezign	SHK Dezign
Shmuel Guttman	Shmuel Guttman
Shonen Fonts	Shonen Fonts
Show Studio	Show Studio
ShweBontha Software	ShweBontha Software
SF Fonts Freebie	ShyFonts Type Foundry
ShyFonts Type Foundry	ShyFonts Type Foundry
ShyFoundry	ShyFonts Type Foundry
ShyWedge	ShyFonts Type Foundry
welcome.to/ShyFonts	ShyFonts Type Foundry
Sibelius Software	Sibelius Software
Sibsystems	Sibsystems
#Siemens	Siemens
siemens ag	Siemens AG
Sigler Design	Sigler Design
Sigler Music Fonts	Sigler Music Fonts
Dave Simpson	Sign DNA
Sign DNA	Sign DNA
Signature Software	Signature Software
Signus	Signus
(c) SIL	SIL Open Font
SIL Open	SIL Open Font
SIL OFL	SIL Open Font
SIL International	SIL Open Font
Silicon Press	Silicon Press
Silver Graphics	Silver Graphics
Silver Mountain Software	Silver Mountain Software
Simoncini	Simoncini	# Adobe
sinasoft co	Sinasoft
Sinergialab	Sinergia Lab
SinisterFonts	Sinister Fonts
SinisterVisions	Sinister Visions
(SIPA)	SIPA Thailand
sir speedy	Sir Speedy
SirSpeedy3000	Sir Speedy 3000
Sir Speedy of Clovis	Sir Speedy of Clovis
Siva Photo	Siva Photo
SKANDATA Corporation	Skandata Corporation
Skeldale House	Skeldale House Treasures
Skene Design	Skene Design
SkyHaven	SkyHaven
Sludge Puppy Type	Sludge Puppy Type
Smart Software	Smart Software
Smeltery	Smeltery Fonts
SMG Design	SMG Design
Smile S??udio	Smile Studio
Smile Studio	Smile Studio
Smith & Milton	Smith & Milton
SML Designs	SML Designs
smogdog	SmogDog
Smoking Drum	Smoking Drum
SnailFonts	Snail Fonts
Snap! Fonts	Snap Fonts
SnatchSoft	SnatchSoft
Society of Cartographers	Society of Cartographers
Society of Typographic Aficionados	Society of Typographic Aficionados
Soe Pyne	Soe Pyne
SoftCom	Soft Com
Soft Horizons	Soft Horizons
Soft Plus	Soft Plus
SoftUnion	Soft Union
SoftView Computers	Soft View Computers
Softdisk Publishing	Softdisk Publishing
SoftDream	SoftDream Co
SoftKey	SoftKey
SoftKey International	SoftKey International
SoftKey Multimedia	SoftKey International
SoftKey Software Products	SoftKey Software Products
softmaker	SoftMaker Software
SOFTVIEW	Softview
Software Complement	Software Complement
Software Friends	Software Friends
SokraType	Sokra Type
Solar?Sister	Solar Sister Fonts
Solfonts	Solfonts
Solotech Design	Solotech Design
SoloType	SoloType
solpera academy	Solpera Academy
Solveware	Solveware
Soma Press	Soma Press
s o m a k   s o f t w a r e	Somak Software
SONOKI	Sonoki
Sony Computer Entertaiment	Sony Computer Entertaiment
sony corp	Sony Corp
by Soolid	Soolid comunicazione
Soolid comunicazione	Soolid comunicazione
Sooy Type Foundry	Sooy Type Foundry
Sorcererskitchen	Sorcerers Kitchen
Sorkin Type Co	Sorkin Type Co
Sotsu Agency	Sotsu Agency
Sound of Print	Sound Of Print
soundesign	Soundesign
Soupasith Bouahom	Soupasith Bouahom
sourcenet	Sourcenet
